filename,server,serverIP,doclength,concurrency,time,compreq,failreq,tottran,htmltran,reqpersec,timeperreqall,timeperreq,transrate
nano_lighttpd_c_2_100,lighttpd/1.4.33,54.187.178.32,3568,100,0.086,100,0,382600,356800,1156.80,86.445,0.864,4322.20,nano
nano_lighttpd_c_2_20,lighttpd/1.4.33,54.187.178.32,3568,20,0.081,100,0,382600,356800,1236.12,16.180,0.809,4618.57,nano
nano_lighttpd_c_2_30,lighttpd/1.4.33,54.187.178.32,3568,30,0.079,100,0,382600,356800,1260.03,23.809,0.794,4707.90,nano
nano_lighttpd_c_2_40,lighttpd/1.4.33,54.187.178.32,3568,40,0.080,100,0,382600,356800,1256.85,31.826,0.796,4696.00,nano
nano_lighttpd_c_2_50,lighttpd/1.4.33,54.187.178.32,3568,50,0.086,100,0,382600,356800,1156.40,43.237,0.865,4320.70,nano
nano_lighttpd_c_2_60,lighttpd/1.4.33,54.187.178.32,3568,60,0.081,100,0,382600,356800,1242.10,48.305,0.805,4640.88,nano
nano_lighttpd_c_2_70,lighttpd/1.4.33,54.187.178.32,3568,70,0.093,100,0,382600,356800,1069.82,65.432,0.935,3997.18,nano
nano_lighttpd_c_2_80,lighttpd/1.4.33,54.187.178.32,3568,80,0.096,100,0,382600,356800,1043.77,76.646,0.958,3899.85,nano
nano_lighttpd_c_2_90,lighttpd/1.4.33,54.187.178.32,3568,90,0.106,100,0,382600,356800,946.45,95.092,1.057,3536.25,nano
nano_lighttpd_c_3_10,lighttpd/1.4.33,54.187.178.32,3568,10,0.084,100,0,382600,356800,1190.31,8.401,0.840,4447.37,nano
nano_lighttpd_c_3_100,lighttpd/1.4.33,54.187.178.32,3568,100,0.090,100,0,382600,356800,1115.95,89.610,0.896,4169.54,nano
nano_lighttpd_c_3_20,lighttpd/1.4.33,54.187.178.32,3568,20,0.083,100,0,382600,356800,1204.57,16.603,0.830,4500.68,nano
nano_lighttpd_c_3_30,lighttpd/1.4.33,54.187.178.32,3568,30,0.088,100,0,382600,356800,1130.38,26.540,0.885,4223.46,nano
nano_lighttpd_c_3_40,lighttpd/1.4.33,54.187.178.32,3568,40,0.085,100,0,382600,356800,1173.87,34.075,0.852,4385.98,nano
nano_lighttpd_c_3_50,lighttpd/1.4.33,54.187.178.32,3568,50,0.079,100,0,382600,356800,1263.22,39.581,0.792,4719.79,nano
nano_lighttpd_c_3_60,lighttpd/1.4.33,54.187.178.32,3568,60,0.085,100,0,382600,356800,1171.29,51.226,0.854,4376.32,nano
nano_lighttpd_c_3_70,lighttpd/1.4.33,54.187.178.32,3568,70,0.093,100,0,382600,356800,1080.02,64.814,0.926,4035.30,nano
nano_lighttpd_c_3_80,lighttpd/1.4.33,54.187.178.32,3568,80,0.097,100,0,382600,356800,1035.65,77.246,0.966,3869.52,nano
nano_lighttpd_c_3_90,lighttpd/1.4.33,54.187.178.32,3568,90,0.110,100,0,382600,356800,907.42,99.183,1.102,3390.41,nano
nano_nginx_c_1_10,nginx/1.4.6,54.187.178.32,612,10,0.073,100,0,85300,61200,1378.61,7.254,0.725,1148.39,nano
nano_nginx_c_1_100,nginx/1.4.6,54.187.178.32,612,100,0.068,100,0,85300,61200,1480.63,67.539,0.675,1233.37,nano
nano_nginx_c_1_20,nginx/1.4.6,54.187.178.32,612,20,0.066,100,0,85300,61200,1504.87,13.290,0.665,1253.57,nano
nano_nginx_c_1_30,nginx/1.4.6,54.187.178.32,612,30,0.067,100,0,85300,61200,1496.07,20.053,0.668,1246.23,nano
nano_nginx_c_1_40,nginx/1.4.6,54.187.178.32,612,40,0.066,100,0,85300,61200,1524.88,26.232,0.656,1270.24,nano
nano_nginx_c_1_50,nginx/1.4.6,54.187.178.32,612,50,0.061,100,0,85300,61200,1634.52,30.590,0.612,1361.57,nano
nano_nginx_c_1_60,nginx/1.4.6,54.187.178.32,612,60,0.068,100,0,85300,61200,1473.54,40.718,0.679,1227.47,nano
nano_nginx_c_1_70,nginx/1.4.6,54.187.178.32,612,70,0.072,100,0,85300,61200,1391.38,50.310,0.719,1159.03,nano
nano_nginx_c_1_80,nginx/1.4.6,54.187.178.32,612,80,0.073,100,0,85300,61200,1364.07,58.648,0.733,1136.28,nano
nano_nginx_c_1_90,nginx/1.4.6,54.187.178.32,612,90,0.073,100,0,85300,61200,1373.46,65.528,0.728,1144.10,nano
nano_nginx_c_2_10,nginx/1.4.6,54.187.178.32,612,10,0.074,100,0,85300,61200,1353.47,7.388,0.739,1127.45,nano
nano_nginx_c_2_100,nginx/1.4.6,54.187.178.32,612,100,0.075,100,0,85300,61200,1340.39,74.605,0.746,1116.56,nano
nano_nginx_c_2_20,nginx/1.4.6,54.187.178.32,612,20,0.066,100,0,85300,61200,1505.66,13.283,0.664,1254.23,nano
nano_nginx_c_2_30,nginx/1.4.6,54.187.178.32,612,30,0.064,100,0,85300,61200,1565.12,19.168,0.639,1303.75,nano
nano_nginx_c_2_40,nginx/1.4.6,54.187.178.32,612,40,0.064,100,0,85300,61200,1562.43,25.601,0.640,1301.51,nano
nano_nginx_c_2_50,nginx/1.4.6,54.187.178.32,612,50,0.075,100,0,85300,61200,1327.07,37.677,0.754,1105.46,nano
nano_nginx_c_2_60,nginx/1.4.6,54.187.178.32,612,60,0.063,100,0,85300,61200,1580.63,37.960,0.633,1316.68,nano
nano_nginx_c_2_70,nginx/1.4.6,54.187.178.32,612,70,0.085,100,0,85300,61200,1181.20,59.262,0.847,983.94,nano
nano_nginx_c_2_80,nginx/1.4.6,54.187.178.32,612,80,0.078,100,0,85300,61200,1284.75,62.269,0.778,1070.21,nano
nano_nginx_c_2_90,nginx/1.4.6,54.187.178.32,612,90,0.093,100,0,85300,61200,1075.59,83.675,0.930,895.98,nano
nano_nginx_c_3_10,nginx/1.4.6,54.187.178.32,612,10,0.070,100,0,85300,61200,1433.47,6.976,0.698,1194.09,nano
nano_nginx_c_3_100,nginx/1.4.6,54.187.178.32,612,100,0.071,100,0,85300,61200,1406.63,71.092,0.711,1171.73,nano
nano_nginx_c_3_20,nginx/1.4.6,54.187.178.32,612,20,0.071,100,0,85300,61200,1413.37,14.151,0.708,1177.35,nano
nano_nginx_c_3_30,nginx/1.4.6,54.187.178.32,612,30,0.068,100,0,85300,61200,1477.80,20.300,0.677,1231.02,nano
nano_nginx_c_3_40,nginx/1.4.6,54.187.178.32,612,40,0.069,100,0,85300,61200,1459.41,27.408,0.685,1215.70,nano
nano_nginx_c_3_50,nginx/1.4.6,54.187.178.32,612,50,0.065,100,0,85300,61200,1548.80,32.283,0.646,1290.16,nano
nano_nginx_c_3_60,nginx/1.4.6,54.187.178.32,612,60,0.068,100,0,85300,61200,1470.35,40.807,0.680,1224.81,nano
nano_nginx_c_3_70,nginx/1.4.6,54.187.178.32,612,70,0.068,100,0,85300,61200,1466.13,47.745,0.682,1221.29,nano
nano_nginx_c_3_80,nginx/1.4.6,54.187.178.32,612,80,0.078,100,0,85300,61200,1289.47,62.041,0.776,1074.14,nano
nano_nginx_c_3_90,nginx/1.4.6,54.187.178.32,612,90,0.086,100,0,85300,61200,1159.33,77.631,0.863,965.73,nano
